0:00it feels like it's been a while since I've really enjoyed a piece of high fantasy which makes me sad because I
0:077 secondsreally used to like this stuff I do still like the sense of wonder it provides the ideas are still good the stories are still interesting the more I
0:1616 secondslearn about magic and its history the less I see it in these stories in fact some of this stuff in a weird way makes
0:2525 secondsme feel something kind of opposite magic as if the actual IDE a of this fictional magic the fantasy we're all engaging in
0:3434 secondsis something completely different and Magic is just this surrogate term we've adopted to describe it to be honest
0:4242 secondsdespite my history the whole idea of magic systems has always felt just a little dissonant to me it's almost as if
0:5151 secondsin the pursuit to systematize our fantasies we sort of lost the concept of
0:5656 secondswhat magic even means
1:011 minute, 1 second[Music]
1:131 minute, 13 seconds[Applause]
1:181 minute, 18 secondshow do you define magic it's a surprisingly slippery question some people might say that seeing a rainbow
1:261 minute, 26 secondsor watching the solar eclipse feels magical others might think of magic tricks like pulling a rabbit out of a hat if you practice Voodoo you might
1:341 minute, 34 secondswear a gre gre amulet for protection or luck maybe when you think of magic you think of spirits or fairies or demons
1:411 minute, 41 secondsbeings whose very existence would challenge our understanding of reality these are all very different
1:481 minute, 48 secondsthings they're also all magical in practice it's sort of hard to describe magic as any one thing people just tend
1:561 minute, 56 secondsto use the word in a lot of different ways still although the definition may be a little diffuse I do think you can
2:032 minutes, 3 secondstry to understand what people mean by it from what I've seen there really appear to be three major applications for the
2:102 minutes, 10 secondsterm first there's magic as phenomenon otherwise known as the supernatural Spirits fairies demons some people
2:192 minutes, 19 secondsbelieve in them many don't so far it's not really a scientific thing there's no empirical evidence you can't really
2:262 minutes, 26 secondsstudy it in the way you would need to so if you assume that it does exist anyway that puts it into this interesting
2:342 minutes, 34 secondsterritory something that can ostensibly be observed but not demonstrated or explained materially this can even be
2:422 minutes, 42 secondsapplied to things that are by and large known to be real if you didn't know how electricity worked in a very literal sense lightning might appear to have
2:502 minutes, 50 secondsabout the same veracity as a fairy or a demon observable but non-replicable and therefore non-empirical to anyone who
2:582 minutes, 58 secondsisn't there for the event itself self magic as phenomena second there is of course
3:063 minutes, 6 secondsmagic as practice that is when humans attempt to interact with the supernatural think spells divination the
3:133 minutes, 13 secondsuse of Arcane tools like gre gre amulet whether or not you believe these things actually work people still do them they
3:213 minutes, 21 secondspractice them this sort of magic can even be seen in the foundations of Science in 1602 Alchemists wrote of the
3:283 minutes, 28 secondsbolognia Stone a rock that they could make glow in the dark Lawrence prce a modern chemist followed the 17th century
3:353 minutes, 35 secondsalchemical recipe to make the bolognia stone and he found that the recipe actually worked Prince with the context
3:443 minutes, 44 secondsof modern science knew the stone is barite and that it glowed because a chemical reaction caused the copper ions in it to release energy to Wilhelm
3:523 minutes, 52 secondshomberg The Alchemist who authored the original recipe The Rock's luminance was magical whether they believed it was due
4:004 minutesto magic or science both Prince and Holberg got the same result from the same recipe to one it was science to the
4:094 minutes, 9 secondsother it was magic in either case we have this perception of magic not just as a thing that might exist but as a
4:174 minutes, 17 secondsthing that you do magic as practice third and perhaps most common
4:234 minutes, 23 secondsof all people love to use magic as a metaphor even if we know barite can glow because of a chemical reaction it still
4:334 minutes, 33 secondslooks magical doesn't it I mean glowing rocks aren't exactly something you see on the nature trail a inspiring
4:394 minutes, 39 secondsoccurrences still feel like magic even though you may otherwise feel like you understand them you can pick up a book
4:474 minutes, 47 secondsand learn all about electricity and a lightning storm can still fill you with a sense of wonder you might say that it
4:544 minutes, 54 secondsfeels magical to you even if you don't mean it literally I think sneakily this is how Arthur C Clark used the word in
5:015 minutes, 1 secondhis famous quote any sufficiently advanced technology is indistinguishable from Magic the intended sentiment is of
